event_id,title
121,jeff hughes vs. todd duffee
121,glover teixeira vs. nikita krylov
121,donald cerrone vs. justin gaethje
122,martin bravo vs. steven peterson
122,irene aldana vs. vanessa melo
122,askar askarov vs. brandon moreno
122,alexa grasso vs. carla esparza
122,jeremy stephens vs. yair rodriguez
123,alex oliveira vs. nicolas dalby
123,michal oleksiejczuk vs. ovince saint preux
123,ion cuțelaba vs. khalil rountree
123,gilbert burns vs. gunnar nelson
123,danilo belluardo vs. mark madsen
123,jack hermansson vs. jared cannonier
124,justin tafa vs. yorgan de castro
124,dhiego lima vs. luke jumeau
124,sergey spivak vs. tai tuivasa
124,al iaquinta vs. dan hooker
124,israel adesanya vs. robert whittaker
125,eryk anders vs. gerald meerschaert
125,luis pena vs. matt frevola
125,amanda ribas vs. mackenzie dern
125,james vick vs. niko price
125,cub swanson vs. kron gracie
125,joanna jedrzejczyk vs. michelle waterson
126,darren stewart vs. deron winn
126,gillian robertson vs. maycee barber
126,joe lauzon vs. jonathan pearce 
126,ben sosoli vs. greg hardy
126,jeremy stephens vs. yair rodriguez 2
126,chris weidman vs. dominick reyes
127,laureano staropoli vs. muslim salikhov
127,ciryl gane vs. don'tale mayes
127,beneil dariush vs. frank camacho
127,michael johnson vs. stevie ray
127,ben askren vs. demian maia
128,gregor gillespie vs. kevin lee
128,blagoy ivanov vs. derrick lewis
128,stephen thompson vs. vicente luque
128,darren till vs. kelvin gastelum
128,jorge masvidal vs. nate diaz
129,klidson farias de abreu vs. shamil gamzatov
129,anthony rocco martin vs. ramazan emeev
129,ed herman vs. khadis ibragimov
129,danny roberts vs. zelim imadaev
129,alexander volkov vs. greg hardy
129,calvin kattar vs. zabit magomedsharipov
130,ricky simon vs. rob font
130,geraldo de freitas jr. vs. song yadong
130,aspen ladd vs. yana kunitskaya
130,ben rothwell vs. stefan struve
130,cynthia calvillo vs. marina rodriguez
130,alistair overeem vs. jairzinho rozenstruik 
131,petr yan vs. urijah faber
131,jose aldo vs. marlon moraes
131,amanda nunes vs. germaine de randamie
131,alexander volkanovski vs. max holloway
131,colby covington vs. kamaru usman
132,kang kyung-ho vs. pingyuan liu
132,marc-andre barriault vs. park jun-yong
132,jung da un vs. mike rodriguez
132,charles jourdain vs. choi doo-ho
132,aleksandar rakic vs. volkan oezdemir
132,chan sung jung vs. frankie edgar
133,darko stosic vs. jamahal hill
133,angela hill vs. hannah cifers
133,alex perez vs. jordan espinosa
133,michael chiesa vs. rafael dos anjos
133,curtis blaydes vs. junior dos santos
134,lando vannata vs. yancy medeiros
134,ray borg  vs. rogerio bontorin
134,brok weaver vs. kazula vargas
134,mara romero borella vs. montana de la rosa
134,diego sanchez vs. michel pereira
134,corey anderson vs. jan blachowicz
135,brad riddell vs. magomed mustafaev
135,ben sosoli vs. marcos rogério de lima
135,karolina kowalkiewicz vs. yan xiaonan
135,jimmy crute vs. michal oleksiejczuk
135,dan hooker vs. paul felder
136,alexandre pantoja vs. askar askarov
136,ariane lipski vs. luana carolina
136,marc diakiese vs. rafael fiziev
136,jack hermansson vs. kelvin gastelum
136,deiveson figueiredo vs. joseph benavidez
137,francisco trinaldo vs. john makdessi
137,johnny walker vs. nikita krylov
137,damir hadzovic vs. renato moicano
137,demian maia vs. gilbert burns
137,charles oliveira vs. kevin lee
138,michael johnson vs. thiago moises
138,andrei arlovski vs. philipe lins
138,ray borg vs. ricky simon
138,alexander hernandez vs. drew dober
138,ben rothwell vs. ovince saint preux
138,anthony smith vs. glover teixeira
139,marlon vera vs. song yadong
139,eryk anders vs. krzysztof jotko
139,dan ige vs. edson barboza
139,angela hill vs. claudia gadelha
139,alistair overeem vs. walt harris
140,hannah cifers vs. mackenzie dern
140,brok weaver vs. roosevelt roberts
140,billy quarantillo vs. spike carlyle
140,augusto sakai vs. blagoy ivanov
140,gilbert burns vs. tyron woodley
141,hannah cifers vs. mariya agapova
141,jordan espinosa vs. mark de la rosa
141,andre fili vs. charles jourdain
141,charles rosa vs. kevin aguilar
141,karl roberson vs. marvin vettori
141,cynthia calvillo vs. jessica eye
142,jim miller vs. roosevelt roberts
142,belal muhammad vs. lyman good
142,marion reneau vs. raquel pennington
142,josh emmett vs. shane burgos
142,alexander volkov vs. curtis blaydes
143,julian erosa vs. sean woodson
143,jason witt vs. takashi sato
143,brendan allen vs. kyle daukaus
143,gian villante vs. maurice greene
143,mickey gall vs. mike perry
143,dan hooker vs. dustin poirier
144,abdul razak alhassan vs. mounir lazzez
144,molly mccann vs. taila santos
144,cody stamann vs. jimmie rivera
144,ryan benoit vs. tim elliot
144,calvin kattar vs. dan ige
145,darrick minner vs. grant dawson
145,megan anderson vs. norma dumont
145,ion cutelaba vs. magomed ankalaev
145,felicia spencer vs. zarah fairn dos santos
145,deiveson figueiredo vs. joseph benavidez 2
146,khamzat chimaev vs. rhys mckee
146,alex oliveira vs. peter sobotta
146,gadzhimurad antigulov vs. paul craig
146,carla esparza vs. marina rodriguez
146,alexander gustafsson vs. fabricio werdum
146,mauricio rua vs. rogerio nogueira
146,darren till vs. robert whittaker
147,kevin holland vs. trevin giles
147,bobby green vs. lando vannata
147,randy brown vs. vincente luque
147,jennifer maia vs. joanne calderwood
147,derek brunson vs. edmen shahbazyan
148,beneil dariush vs. scott holtzman
148,julija stoliarenko vs. yana kunitskaya
148,darren stewart vs. maki pitolo
148,chris weidman vs. omari akhmedov
148,aleksei oleinik vs. derrick lewis
149,anthony pettis vs. diego ferreira
149,brian kelleher vs. ode osbourne
149,aleksei oleinik vs. maurice green
149,holly holm vs. raquel pennington
149,conor mcgregor vs. donald cerrone
150,austin lingo vs. youssef zalal
150,andre ewell vs. jonathan martinez
150,domingo pilarte vs. journey newson
151,mario bautista vs. miles johns
151,alex morono vs. kalinn williams
151,andrea lee vs. lauren murphy
151,james krause vs. trevin giles
152,derrick lewis vs. ilir latifi
152,dan ige vs. mirsad bektić
152,juan adams vs. justin tafa
152,katlyn chookagian vs. valentina shevchenko
152,dominick reyes vs. jon jones
153,danaa batgerel vs. guido cannetti
153,giga chikadze vs. jamall emmers
154,deron winn vs. gerald meerschaert
154,rodolfo vieira vs. saparbek safarov
154,austin hubbard vs. mark madsen
154,jose alberto quinonez vs. sean o'malley
155,alex oliveira vs. max griffin
155,li jingliang vs. neil magny
155,beneil dariush vs. drakker klose
155,joanna jedrzejczyk vs. weili zhang
155,israel adesanya vs. yoel romero
156,ryan spann vs. sam alvey
156,bryce mitchell vs. charles rosa
157,niko price vs. vicente luque
157,carla esparza vs. michelle waterson
157,aleksei oleinik vs. fabricio werdum
157,anthony pettis vs. donald cerrone
158,greg hardy vs. yorgan de castro
158,calvin kattar vs. jeremy stephens
158,francis ngannou vs. jairzinho rozenstruik
158,dominick cruz vs. henry cejudo
158,justin gaethje vs. tony ferguson
159,evan dunham vs. herbert burns
159,alonzo menifield vs. devin clark
